IP Address,User ID,Account Number,Age,Shipping Address,Transaction Date,Transaction Time,Transaction Value,Product Category,Units Purchased
192.168.1.1,user001,123456789.0,35.0,"123 Main St, City A",45108.0,0.510671296,50.0,Electronics,2.0
192.168.2.10,user002,987654321.0,28.0,"456 Oak St, City B",45108.0,0.6046875,25.99,Fashion,1.0
10.0.0.1,user003,567890123.0,41.0,"789 Elm St, City C",45109.0,0.382002315,,Home & Garden,3.0
172.16.0.100,user004,234567890.0,22.0,"234 Maple St, City D",45109.0,0.489930556,75.5,Electronics,1.0
192.168.5.20,user005,678901234.0,29.0,"567 Pine St, City E",45109.0,,15.75,Books,5.0
10.0.0.100,user006,,37.0,"890 Oak St, City F",45110.0,0.336944444,30.25,Fashion,2.0
192.168.1.2,user007,789012345.0,48.0,,45110.0,0.570081019,55.2,Electronics,1.0
192.168.2.50,user008,456789012.0,,"456 Maple St, City H",45110.0,0.729259259,40.0,Home & Garden,
172.16.0.200,user009,901234567.0,31.0,"789 Pine St, City I",45111.0,0.427083333,,Books,2.0
192.168.5.60,user010,,26.0,"234 Oak St, City J",,0.534953704,75.0,Fashion,1.0
192.168.5.61,user011,123450987.0,33.0,"567 Elm St, City K",45112.0,0.646041667,18.5,Electronics,4.0
192.168.5.62,user001,567890123.0,40.0,"123 Main St, City A",45113.0,0.444849537,,Fashion,1.0
192.168.5.63,user013,901234567.0,22.0,"456 Oak St, City B",,0.556134259,50.25,Home & Garden,
192.168.5.64,user014,234567890.0,28.0,,45114.0,,35.0,Electronics,3.0
192.168.5.65,user015,567890123.0,34.0,"789 Elm St, City C",45115.0,0.385532407,,Books,2.0
192.168.5.66,user016,901234567.0,,"234 Maple St, City D",,0.496875,28.99,Fashion,1.0
192.168.5.67,user017,234567890.0,47.0,"567 Pine St, City E",45116.0,0.583796296,20.0,Home & Garden,3.0
192.168.5.68,user018,,39.0,"890 Oak St, City F",45116.0,,60.75,Electronics,
192.168.5.69,user019,901234567.0,25.0,"123 Elm St, City G",45117.0,0.340335648,,Books,2.0
192.168.5.70,user020,234567890.0,29.0,"456 Maple St, City H",,0.521087963,45.5,Fashion,1.0
192.168.5.71,user021,567890123.0,32.0,,45118.0,0.639351852,10.0,Home & Garden,5.0
192.168.5.72,user022,901234567.0,41.0,"789 Pine St, City I",45119.0,0.420717593,,Books,2.0
192.168.5.73,user023,,24.0,"234 Oak St, City J",45119.0,0.527893519,80.2,Fashion,1.0
192.168.5.74,user024,123450987.0,37.0,"567 Elm St, City K",,0.600868056,12.99,Electronics,4.0
192.168.5.75,user025,567890123.0,46.0,"123 Main St, City A",45120.0,,,Fashion,1.0
192.168.5.76,user026,901234567.0,27.0,"456 Oak St, City B",45121.0,0.396064815,65.0,Home & Garden,2.0
192.168.5.77,user027,234567890.0,,,,,,,
